feature_1,feature_2,dependency
OUT_PKTS,NUM_PKTS_512_TO_1024_BYTES,0.4392888949407795
IN_PKTS,NUM_PKTS_256_TO_512_BYTES,0.43865537790323095
OUT_BYTES,TCP_WIN_MAX_IN,0.43841823362755533
DST_TO_SRC_SECOND_BYTES,TCP_WIN_MAX_IN,0.4380332990913426
LONGEST_FLOW_PKT,NUM_PKTS_1024_TO_1514_BYTES,0.4379341781223336
MAX_IP_PKT_LEN,NUM_PKTS_1024_TO_1514_BYTES,0.4379341781223336
IN_PKTS,TCP_FLAGS,0.4378457024595666
OUT_BYTES,NUM_PKTS_512_TO_1024_BYTES,0.4305315863309576
LONGEST_FLOW_PKT,MIN_IP_PKT_LEN,0.4290337570143441
MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,0.4290337570143441
CLIENT_TCP_FLAGS,NUM_PKTS_256_TO_512_BYTES,0.4290045678747354
CLIENT_TCP_FLAGS,DST_TO_SRC_AVG_THROUGHPUT,0.42893520098454585
DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_1024_TO_1514_BYTES,0.42796272706870886
DST_TO_SRC_SECOND_BYTES,NUM_PKTS_512_TO_1024_BYTES,0.42243995235467874
PROTOCOL,DNS_QUERY_TYPE,0.421840801686479
OUT_BYTES,SRC_TO_DST_AVG_THROUGHPUT,0.4218049822642548
LONGEST_FLOW_PKT,NUM_PKTS_256_TO_512_BYTES,0.42152447986549124
MAX_IP_PKT_LEN,NUM_PKTS_256_TO_512_BYTES,0.42152447986549124
NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_256_TO_512_BYTES,0.4200159595383572
DST_TO_SRC_SECOND_BYTES,SRC_TO_DST_AVG_THROUGHPUT,0.4198603823902618
TCP_FLAGS,NUM_PKTS_256_TO_512_BYTES,0.419204976964687
NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,0.4187463813065434
IN_BYTES,DST_TO_SRC_AVG_THROUGHPUT,0.4181816219710436
CLIENT_TCP_FLAGS,NUM_PKTS_512_TO_1024_BYTES,0.41620350531366584
SHORTEST_FLOW_PKT,NUM_PKTS_128_TO_256_BYTES,0.4149143517833698
IN_PKTS,NUM_PKTS_1024_TO_1514_BYTES,0.41443625088867864
IN_BYTES,SHORTEST_FLOW_PKT,0.41021165292408607
L7_PROTO,SRC_TO_DST_SECOND_BYTES,0.40922065816793246
IN_BYTES,NUM_PKTS_256_TO_512_BYTES,0.4088729528749473
IN_PKTS,NUM_PKTS_512_TO_1024_BYTES,0.40829187622269303
RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_PKTS,0.4075030832149373
TCP_FLAGS,NUM_PKTS_512_TO_1024_BYTES,0.40694835005397323
PROTOCOL,DNS_QUERY_ID,0.40685197929711003
SERVER_TCP_FLAGS,MIN_IP_PKT_LEN,0.40519951165953394
MAX_TTL,TCP_WIN_MAX_OUT,0.40502040207500334
MIN_TTL,TCP_WIN_MAX_OUT,0.40417602386919926
CLIENT_TCP_FLAGS,NUM_PKTS_1024_TO_1514_BYTES,0.4016253537762929
RETRANSMITTED_IN_BYTES,RETRANSMITTED_OUT_PKTS,0.40135264581456487
IN_PKTS,TCP_WIN_MAX_IN,0.3995978043975457
SRC_TO_DST_SECOND_BYTES,SRC_TO_DST_AVG_THROUGHPUT,0.3992374494083766
TCP_FLAGS,NUM_PKTS_UP_TO_128_BYTES,0.3971857748618183
RETRANSMITTED_IN_BYTES,RETRANSMITTED_OUT_BYTES,0.39567662216085897
NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_512_TO_1024_BYTES,0.39270242824334806
NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_1024_TO_1514_BYTES,0.3910785361087708
MAX_IP_PKT_LEN,NUM_PKTS_512_TO_1024_BYTES,0.3907475738263622
LONGEST_FLOW_PKT,NUM_PKTS_512_TO_1024_BYTES,0.3907475738263622
OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,0.39007302180493664
RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,0.38893549282702916
IN_BYTES,NUM_PKTS_1024_TO_1514_BYTES,0.38786927127143467
TCP_FLAGS,NUM_PKTS_1024_TO_1514_BYTES,0.38764385204972274
NUM_PKTS_256_TO_512_BYTES,TCP_WIN_MAX_IN,0.3851613147634919
DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_256_TO_512_BYTES,0.38270500374422456
FLOW_DURATION_MILLISECONDS,SRC_TO_DST_SECOND_BYTES,0.38080879162724435
IN_BYTES,NUM_PKTS_512_TO_1024_BYTES,0.379060986016865
MIN_IP_PKT_LEN,NUM_PKTS_UP_TO_128_BYTES,0.37733900182430685
IN_PKTS,MAX_IP_PKT_LEN,0.3767174695594536
IN_PKTS,LONGEST_FLOW_PKT,0.3767174695594536
PROTOCOL,DNS_TTL_ANSWER,0.37378173606542525
IN_PKTS,OUT_BYTES,0.3734932690315
DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_512_TO_1024_BYTES,0.37349295104776825
MIN_IP_PKT_LEN,TCP_WIN_MAX_OUT,0.37095072278031355
IN_PKTS,DST_TO_SRC_SECOND_BYTES,0.3677989492602837
CLIENT_TCP_FLAGS,NUM_PKTS_UP_TO_128_BYTES,0.3667454483885822
SERVER_TCP_FLAGS,SRC_TO_DST_AVG_THROUGHPUT,0.36673311404204156
NUM_PKTS_512_TO_1024_BYTES,TCP_WIN_MAX_IN,0.36479544308427897
PROTOCOL,L7_PROTO,0.3633927495202396
DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN,0.3603941131679655
IN_BYTES,NUM_PKTS_UP_TO_128_BYTES,0.3594244269265236
L7_PROTO,MAX_TTL,0.3588693224147592
L7_PROTO,MIN_TTL,0.358831314694228
DST_TO_SRC_AVG_THROUGHPUT,DNS_QUERY_TYPE,0.35674429838724553
SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,0.3517909325752734
DURATION_OUT,TCP_WIN_MAX_OUT,0.351759634369172
NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,0.35167586649265986
FLOW_DURATION_MILLISECONDS,DURATION_OUT,0.34251524822112156
SHORTEST_FLOW_PKT,DNS_QUERY_TYPE,0.34240929117852514
MIN_IP_PKT_LEN,SRC_TO_DST_AVG_THROUGHPUT,0.3411556426940077
SRC_TO_DST_AVG_THROUGHPUT,NUM_PKTS_1024_TO_1514_BYTES,0.33856873118195974
CLIENT_TCP_FLAGS,NUM_PKTS_128_TO_256_BYTES,0.3380091801610695
SRC_TO_DST_AVG_THROUGHPUT,TCP_WIN_MAX_OUT,0.33515066597321486
DST_TO_SRC_AVG_THROUGHPUT,DNS_TTL_ANSWER,0.33089511869263066
DST_TO_SRC_AVG_THROUGHPUT,DNS_QUERY_ID,0.330058520898713
DURATION_OUT,TCP_WIN_MAX_IN,0.3266303984491975
LONGEST_FLOW_PKT,SRC_TO_DST_SECOND_BYTES,0.32597396800126255
MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,0.32597396800126255
DURATION_IN,MIN_TTL,0.3248656940196262
DURATION_IN,MAX_TTL,0.32462091269385285
TCP_FLAGS,NUM_PKTS_128_TO_256_BYTES,0.32443119246970803
MAX_TTL,LONGEST_FLOW_PKT,0.3208498043873
MAX_TTL,MAX_IP_PKT_LEN,0.3208498043873
MIN_TTL,MAX_IP_PKT_LEN,0.3207654519291019
MIN_TTL,LONGEST_FLOW_PKT,0.3207654519291019
FLOW_DURATION_MILLISECONDS,MIN_TTL,0.32045343968109635
NUM_PKTS_UP_TO_128_BYTES,TCP_WIN_MAX_IN,0.32043690730741403
FLOW_DURATION_MILLISECONDS,MAX_TTL,0.32027533007391706
OUT_PKTS,DURATION_OUT,0.31406761395428
SHORTEST_FLOW_PKT,DNS_QUERY_ID,0.3133025527691048
DST_TO_SRC_SECOND_BYTES,DNS_QUERY_TYPE,0.31121230621022467
MAX_TTL,NUM_PKTS_UP_TO_128_BYTES,0.31058632700841027
OUT_BYTES,DNS_QUERY_TYPE,0.3103720518737258
MIN_TTL,NUM_PKTS_UP_TO_128_BYTES,0.31024232480603076
SERVER_TCP_FLAGS,DURATION_OUT,0.30940989787217443
SERVER_TCP_FLAGS,MAX_TTL,0.30751484011813524
SERVER_TCP_FLAGS,MIN_TTL,0.30697082895682615
DURATION_OUT,DST_TO_SRC_SECOND_BYTES,0.3034277689946417
IN_BYTES,MIN_IP_PKT_LEN,0.3027255020971338
OUT_PKTS,RETRANSMITTED_OUT_BYTES,0.3026896081734814
MIN_TTL,NUM_PKTS_128_TO_256_BYTES,0.3010250969168787
MAX_TTL,NUM_PKTS_128_TO_256_BYTES,0.3010121559758911
OUT_PKTS,RETRANSMITTED_OUT_PKTS,0.30074205729922904
RETRANSMITTED_OUT_BYTES,NUM_PKTS_1024_TO_1514_BYTES,0.29463439136569247
IN_BYTES,RETRANSMITTED_IN_BYTES,0.2931163972925923
RETRANSMITTED_OUT_PKTS,NUM_PKTS_1024_TO_1514_BYTES,0.2912380043618723
MAX_TTL,NUM_PKTS_512_TO_1024_BYTES,0.29046417528048946
MIN_TTL,NUM_PKTS_512_TO_1024_BYTES,0.2901580488245604
CLIENT_TCP_FLAGS,MAX_TTL,0.28985462062403683
CLIENT_TCP_FLAGS,MIN_TTL,0.28927054168283745
IN_BYTES,ICMP_IPV4_TYPE,0.28809759112547195
IN_BYTES,ICMP_TYPE,0.28809758607482205
IN_BYTES,RETRANSMITTED_IN_PKTS,0.28763243586736814
DST_TO_SRC_SECOND_BYTES,DNS_QUERY_ID,0.287391254760649
OUT_BYTES,DNS_QUERY_ID,0.2866600787626206
CLIENT_TCP_FLAGS,DURATION_OUT,0.2865518938347185
OUT_BYTES,DURATION_OUT,0.2840462779478572
DST_TO_SRC_SECOND_BYTES,DNS_TTL_ANSWER,0.28401922727509155
OUT_BYTES,DNS_TTL_ANSWER,0.2840142917174333
SHORTEST_FLOW_PKT,DNS_TTL_ANSWER,0.2838389788767201
IN_PKTS,DST_TO_SRC_AVG_THROUGHPUT,0.27825089673680037
DURATION_OUT,NUM_PKTS_UP_TO_128_BYTES,0.2757551204368715
IN_PKTS,SRC_TO_DST_AVG_THROUGHPUT,0.275661782602701
DURATION_OUT,NUM_PKTS_256_TO_512_BYTES,0.2750800950378872
RETRANSMITTED_OUT_PKTS,FTP_COMMAND_RET_CODE,0.2732197475974688
SHORTEST_FLOW_PKT,SRC_TO_DST_SECOND_BYTES,0.2704112746596798
CLIENT_TCP_FLAGS,SHORTEST_FLOW_PKT,0.26894467127941746
IN_PKTS,RETRANSMITTED_IN_BYTES,0.268863736690633
TCP_FLAGS,DURATION_OUT,0.268271353749453
TCP_FLAGS,MAX_TTL,0.2681120038110343
OUT_BYTES,RETRANSMITTED_OUT_BYTES,0.2680202458174724
TCP_FLAGS,MIN_TTL,0.26763212907355705
RETRANSMITTED_OUT_PKTS,ICMP_IPV4_TYPE,0.2670736271647178
RETRANSMITTED_OUT_PKTS,ICMP_TYPE,0.26707357484550664
IN_PKTS,RETRANSMITTED_IN_PKTS,0.2670072985197134
MAX_TTL,NUM_PKTS_256_TO_512_BYTES,0.2668201554295954
MAX_TTL,SRC_TO_DST_AVG_THROUGHPUT,0.2666228667339325
IN_PKTS,RETRANSMITTED_OUT_BYTES,0.2665957264372182
MIN_TTL,NUM_PKTS_256_TO_512_BYTES,0.26650281567862016
MIN_TTL,SRC_TO_DST_AVG_THROUGHPUT,0.2662789330906298
DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_OUT_BYTES,0.26585957502362884
TCP_FLAGS,MIN_IP_PKT_LEN,0.2654358429946387
RETRANSMITTED_OUT_BYTES,ICMP_IPV4_TYPE,0.26543004962043193
